Location ,Time,Decimal,Illumination level (Lux),Color Tempreture,Average Noise level,O2 Concentration (%Vol),CO2 at any moment (PPM),LPG concen (ppm),Alcohole Concen (ppm),Methan Concen (ppm),CO concen (ppm),Hydrogyn Concen (ppm),Netric tVOC level (ppm),VOC Formerdahied Level (ppm),Different VOC (CO) Level (ppm),Room Temp ( C ),Room reative humadity %,Radiant Temp 1 (C),Wind Speed (mm/s),,Occupation ,Age,Height,Weight ,Body Activity,Clothing Layer,How long do you spend in the building during the day ,Does the temperature in this part of the building have a negative effect on your work performance? ,"How would you describe the summer indoor air temperature ""most time feeling""?","How would you describe the winter indoor air temperature ""most time feeling""",Do you feel comfortable under the current temperature ? ,How you describe the current temperature in this room?,"Does the distraction from noise in this part of building have a negative effect on your work performance ""most time feeling""?",Is there significant distraction from noise outside (in this moment) ? ,Is there significant distraction from background noise (machine and undefined noise sources)? ,"How would you describe the noise in building generally ""most time feeling""?",How would describe noise at this moment?,Comfort Under current noise Level,Distraction from people noise,"Does the quality of air in this part of building have a negative effect on your work performance ""most time feeling""?",Do you have control over air condition system ?,"How would you describe the ventilation and air quality of building  ""most time feeling""?","Do you smell odor or unusual smell in your work-space ""most time feeling""?","Do you feel sleepy or headache when you get to your work-space ""most time feeling""?","Right now, do you smell unusual smell?",Does the quality of light (color and light level) in this part of building have a negative effect on your work performance ?,Is there availability of natural light?,Are there blinds or shutters blocking the natural light ? ,Do you have control over artificial lightning ?,Is there any luminare is OFF at this moment?,Air speed at this moment,Ventilation and Air smell,Comfortable under light colour ,Comfort under the current light level,Describe the current light level ,Is there any luminare is OFF at this moment?,How accessible is from the parking lot to the main door of the college?,How is easy to go from one floor to another?,How easy is the horizontal circulation?,How easy is to get out of the building in emergency situation?,Do you know the route to the nearest emergency door?,How would you rate the level of cleanliness of the building?,How clean is your work-space?
STU301,1,14.2036,437.58,7292,24.39999962,20.57,1110,4.859083652,0.004761103,0.480088043,5.721397877,55.69112396,0.187356939,0.467991781,5.187043667,24.72126275,54.45,23,140,,Occ02,Age02,Hight04,Wieg03,Walking,Dress_364,Period_05,Maybe,3,2,Maybe,2,Yes,No,Yes,3,4,4,Yes,No,No,3,Maybe,No,no,No,yes,Yes,Yes,No,LittleWindy,4,5,5,3,No,2,1,2,5,Yes,1,2
STU301,10,14.3603,442.698,7309.3,35.25499969,20.564,1128.293444,3.972776561,0.003481941,0.346570995,5.149498081,52.52659607,0.173117435,0.278320269,3.686839223,24.32132759,54.295,23.6,130,,Occ01,Age01,Hight05,Wieg04,Walking,Dress_213,Period_02,No,3,3,No,3,No,No,Maybe,3,3,2,No,No,Yes,4,No,No,maybe,Yes,may be,No,No,No,Negligable,5,5,5,5,No,5,4,2,2,Yes,1,1
STU301,20,14.5342,459.4045,7207.3,31.41000023,20.53,1223.53259,2.75809607,0.002122887,0.244741757,4.319897222,48.77052612,0.142697006,0.123096361,2.568109679,24.6061374,53.875,24.4,130.3,,Occ01,Age01,Hight03,Wieg02,Walking,Dress_364,Period_05,Yes,3,3,Maybe,2,Yes,Maybe,Maybe,3,3,3,No,Yes,No,4,Yes,Yes,no,Maybe,no,Yes,Yes,No,Negligable,5,5,5,5,No,3,2,2,4,Yes,1,2
STU301,30,14.7194,454.7005,6834.4,33.99999966,20.476,1106.140194,2.314876866,0.00160746,0.208930636,3.963306384,46.68034668,0.118261501,0.080455862,2.169765358,25.50396702,53.58,25.96666667,132.1,,Occ01,Age01,Hight04,Wieg03,Walking,Dress_192,Period_04,Yes,1,1,No,1,Yes,No,No,4,3,4,Yes,No,No,3,No,No,no,Yes,may be,Yes,Yes,No,LittleWindy,4,5,5,4,No,5,3,3,4,Maybe,1,1
STU301,34,14.7775,422.2408333,6994.833333,30.50833327,20.50333333,1031.613286,2.101692359,0.001448614,0.186502798,3.795575603,46.07346153,0.113442011,0.06524574,2.121307858,25.02828215,53.39166667,25.22222222,133.6666667,,Occ01,Age01,Hight03,Wieg02,Running,Dress_99,Period_05,Yes,1,3,Maybe,3,Yes,No,No,2,2,3,Yes,Yes,No,2,No,Yes,yes,No,no,Yes,No,No,LittleWindy,1,2,4,1,Yes,3,3,3,4,Yes,1,2
STU301,35,15.4108,457.835,6995,47.64999847,20.53,746.8847657,4.137956619,0.004614522,0.325374651,5.51554203,53.55063248,0.263089657,0.540472269,3.689363718,23.98829055,53.15,23.66666667,137,,Occ01,Age01,Hight04,Wieg04,Working,Dress_192,Period_03,Yes,4,4,Yes,2,No,No,No,4,5,1,Yes,Yes,Yes,5,Yes,Yes,yes,Maybe,may be,Yes,Yes,No,Negligable,5,5,5,5,No,3,4,5,4,Yes,1,4
STU301,45,15.5847,429.9277273,6855.636364,28.56818189,20.47090909,697.0042149,4.026618394,0.004514502,0.313742419,5.380204894,53.48789389,0.231704905,0.506107313,3.865471666,24.2935299,53.02272727,23.96969697,134.3636364,,Occ01,Age01,Hight05,Wieg03,Walking,Dress_220,Period_05,Maybe,4,3,No,4,Yes,Maybe,Yes,2,3,4,Yes,Yes,No,4,No,Maybe,no,Maybe,may be,Yes,Yes,No,LittleWindy,5,3,3,5,No,1,5,3,4,Yes,5,5
STU301,55,15.7586,439.4363636,6837,36.0772729,20.47272727,678.5189034,3.856565397,0.004246534,0.289101784,5.279266401,52.94904709,0.224427074,0.472711043,3.61130476,24.1195663,52.87727273,23.48484848,130.4545455,,Occ02,Age02,Hight03,Wieg03,Working,Dress_150,Period_04,No,2,3,Maybe,2,Yes,No,Yes,3,4,4,Yes,No,No,2,No,No,no,No,yes,Maybe,Yes,No,LittleWindy,3,3,3,3,No,4,4,2,1,Maybe,2,5
STU301,65,15.9325,464.0113636,7043.636364,35.65454521,20.45545455,670.0884589,3.78404486,0.004041672,0.764196206,5.571805434,52.30930779,0.345255206,0.4874474,3.954135613,23.99636214,52.85,23.18181818,133.0909091,,Occ02,Age02,Hight04,Wieg03,Walking,Dress_364,Period_03,No,3,2,Yes,3,Yes,Yes,No,2,2,5,Yes,Yes,No,3,Yes,No,no,No,no,Yes,Yes,No,LittleWindy,4,5,4,3,No,5,2,2,3,Maybe,1,2
STU301,75,16.1064,465.2186364,7027.545455,30.96818164,20.47272727,699.7515847,3.757975743,0.003840527,0.813506224,5.635555181,51.75678565,0.347457208,0.481388495,3.83719958,24.14614982,52.81363636,23.09090909,129.1818182,,Occ02,Age02,Hight04,Wieg04,Working,Dress_364,Period_04,No,3,3,Yes,3,Yes,No,No,3,3,3,Yes,No,No,2,Yes,No,no,No,may be,Yes,Yes,No,Negligable,4,3,4,3,No,3,2,3,3,Maybe,3,1
STU301,85,16.2803,463.8745455,7179.727273,37.06363654,20.46272727,706.4512581,3.639013095,0.003676791,0.572860904,5.441749486,51.74422004,0.290864837,0.433819736,3.895529726,24.06695363,52.71363636,22.90909091,133.6363636,,Occ01,Age01,Hight03,Wieg02,Working,Dress_364,Period_04,Yes,3,1,No,4,Yes,No,Maybe,2,2,5,Yes,No,No,1,No,Maybe,no,Yes,no,Yes,Yes,No,LittleWindy,4,5,5,3,No,3,4,1,3,Yes,1,1
STU301,95,16.4542,467.19,7185.090909,33.64545392,20.48272727,726.7154025,3.457970338,0.003551987,0.461750386,5.183092984,51.5746075,0.271567934,0.394024359,3.806776372,23.88414668,52.58636364,22.78787879,133.5454545,,Occ01,Age01,Hight03,Wieg03,Working,Dress_364,Period_04,Yes,3,2,Yes,3,No,No,Maybe,4,3,2,Yes,Yes,No,2,No,No,no,Yes,no,Yes,Yes,No,Negligable,4,4,4,3,No,3,2,4,5,Yes,3,1
STU301,105,16.6283,172.1240909,5876.545455,34.11363678,20.47909091,740.0363975,3.346379128,0.003389381,0.415012251,5.104060997,50.81322375,0.259172563,0.37243704,3.633714177,24.48049658,52.47727273,23.6969697,132.2727273,,Occ01,Age01,Hight04,Wieg02,Working,Dress_213,Period_03,Yes,5,3,No,4,No,No,No,4,4,2,Maybe,No,No,4,No,No,no,Yes,no,Yes,Yes,No,LittleWindy,3,5,5,5,No,5,4,2,2,Yes,1,3
STU301,115,16.8022,5.538181818,5138,38.99999969,20.47090909,745.2799148,3.331322887,0.003272125,0.392420572,5.020195744,51.09038544,0.240571343,0.383366173,3.578144377,24.22671035,52.77454545,23.12121212,132.3636364,,Occ01,Age01,Hight04,Wieg03,Working,Dress_364,Period_03,Yes,3,1,Yes,3,No,No,No,3,3,2,Yes,No,No,2,No,Maybe,no,Yes,no,Yes,Yes,No,Negligable,2,4,3,3,Yes,2,5,3,4,Yes,1,3
STU301,125,16.9761,4.585909091,4882.363636,28.63181818,20.44363636,758.6761123,3.274686358,0.003187578,0.364195258,4.94353988,51.2791214,0.255772168,0.376786579,3.83635237,24.0660261,53.52272727,22.87878788,130.6363636,,Occ03,Age02,Hight04,Wieg02,Working,Dress_192,Period_05,Yes,3,3,Yes,3,No,No,No,4,3,2,Yes,No,No,3,No,No,no,No,no,Yes,Yes,No,Negligable,3,1,1,4,No,3,2,4,3,Maybe,2,2
STU301,135,17.15,4.450909091,4684.181818,33.10909091,20.45363636,774.9924848,3.29402993,0.003107286,0.35492767,4.938002933,51.29793965,0.26370261,0.364526521,3.493458574,24.22218059,54.33181818,23.45454545,131.9090909,,Occ03,Age02,Hight03,Wieg03,Working,Dress_364,Period_05,Yes,3,3,Yes,2,No,No,No,3,4,3,Yes,No,No,3,No,No,no,Yes,no,Yes,Yes,No,Negligable,1,5,5,3,No,2,4,2,4,Yes,4,1
STU301,145,17.3239,2.465,4485.363636,39.39545513,20.43090909,781.6619142,3.265862335,0.003028005,0.335852675,4.918681318,51.30422384,0.253743549,0.372167804,3.324779337,23.8784318,54.76818182,22.66666667,133.7272727,,Occ01,Age01,Hight03,Wieg01,Walking,Dress_192,Period_05,Yes,1,3,No,2,No,No,No,4,3,4,Yes,No,No,2,No,No,no,Yes,no,Yes,Yes,No,LittleWindy,3,4,4,3,Yes,1,5,3,1,Yes,1,4
STU301,155,17.4978,1.886363636,4278.272727,32.97272717,20.42,803.6603006,3.179901297,0.002983442,0.317075452,4.797180046,51.34204587,0.261955729,0.340804098,3.634228555,23.80330789,54.99545455,22.60606061,133.3636364,,Occ02,Age03,Hight05,Wieg05,Stall,Dress_194,Period_05,No,3,3,Yes,3,Maybe,No,No,4,4,4,Maybe,No,No,2,No,No,no,No,yes,No,Yes,No,Negligable,1,5,4,3,No,4,1,3,5,Yes,2,2
STU301,165,17.6717,1.909090909,4117,32.92272693,20.42909091,804.8355263,3.182025714,0.002908602,0.316421769,4.746516705,51.21615947,0.252271645,0.351375998,3.405520114,23.77045157,55.25,22.78787879,132.4545455,,Occ01,Age01,Hight03,Wieg01,Walking,Dress_364,Period_05,No,4,1,Maybe,1,Yes,No,Yes,4,4,4,Yes,Yes,Yes,4,Yes,Yes,maybe,Yes,may be,No,Yes,No,Negligable,4,4,4,3,No,2,1,5,3,Yes,1,1
STU301,175,17.8458,219.5809091,5842.363636,38.65909049,20.41363636,817.4736731,3.160263994,0.002847944,0.298787295,4.738857616,51.15963468,0.253873539,0.335702946,3.379668994,23.73747067,55.34090909,22.75757576,132,,Occ01,Age01,Hight04,Wieg03,Walking,Dress_213,Period_03,No,2,2,Yes,3,No,No,No,3,4,4,Yes,No,No,1,No,No,no,Yes,no,Yes,Yes,No,LittleWindy,3,3,3,3,Yes,5,3,2,4,Yes,5,3
