,lightLevel,lightColor,peaople_sound,o2,co2,lpg,alcohol,methane,co,h2,nitric,ch2o,voc,Temp,Humad,Rtemp,air_speed
0,437.58,7292,24.4,20.57,1110.0,4.8591,0.0048,0.4801,5.7214,55.6911,0.1874,0.468,5.187,24.7213,54.45,24,140
1,437.965,7324,24.5,20.59,1099.5644,4.6842,0.0044,0.4171,5.5846,54.6721,0.1685,0.37,4.6816,24.3791,54.4,21,129
2,440.945,7312,30.8,20.59,1102.5324,4.3898,0.004,0.3857,5.3992,53.9929,0.2078,0.36,4.5152,23.8735,54.4,22,134
3,437.5,7319,38.55,20.56,1074.0251,4.248,0.0037,0.3451,5.2828,53.6533,0.1835,0.3128,4.0227,24.2478,54.4,22,135
4,437.945,7340,30.9,20.53,1129.104,3.9655,0.0035,0.3363,5.1676,53.0873,0.1649,0.2699,4.0227,25.0916,54.4,24,125
5,443.7,7285,64.75,20.59,1178.732,3.7974,0.0032,0.3225,5.0374,52.0684,0.1614,0.2618,3.3828,23.89,54.2,20,129
6,441.015,7304,46.85,20.51,1109.3267,3.6974,0.003,0.3073,4.9408,51.4456,0.158,0.2096,2.9164,24.241,54.2,23,127
7,440.06,7310,37.2,20.54,1161.5423,3.4603,0.0028,0.2991,4.8134,50.6527,0.1722,0.1895,2.7637,25.0785,54.2,24,125
8,470.385,7288,30.55,20.57,1169.5588,3.3587,0.0027,0.2878,4.7975,50.0862,0.1796,0.1708,2.7637,23.5252,54.2,22,128
9,439.885,7319,24.05,20.59,1148.5488,3.2675,0.0026,0.2847,4.7502,49.9161,0.1479,0.1708,2.6125,24.1653,54.1,22,128
10,470.505,7290,24.15,20.6,1112.2853,3.1382,0.0025,0.2738,4.5324,49.7461,0.1323,0.159,2.4629,23.7807,53.95,22,138
11,470.19,7283,25.3,20.49,1136.0655,2.9819,0.0024,0.2692,4.5016,49.6894,0.1323,0.159,2.7637,24.0527,53.95,23,127
12,470.55,7283,25.45,20.49,1154.3039,2.8685,0.0023,0.2601,4.3494,49.406,0.1614,0.137,2.7637,24.5434,53.95,23,126
13,459.62,7234,24.0,20.53,1149.2306,2.8094,0.0022,0.2571,4.2892,49.0657,0.1649,0.1318,2.6125,24.5783,53.9,24,130
14,469.125,7322,24.9,20.47,1220.0805,2.7008,0.0021,0.2498,4.2892,48.7253,0.1479,0.1171,2.4629,24.9415,53.9,24,126
15,470.775,7251,23.6,20.61,1655.3024,2.6372,0.002,0.2397,4.2742,48.5551,0.1447,0.1124,2.7637,25.1514,53.9,23,125
16,418.39,7189,40.8,20.51,1223.2757,2.6233,0.002,0.2313,4.2892,48.5551,0.1479,0.1035,2.4629,25.0212,53.8,24,136
17,447.005,7138,31.9,20.55,1205.6084,2.6513,0.0019,0.2231,4.2742,48.1011,0.1384,0.1124,2.4629,24.6962,53.8,23,128
18,459.395,7046,29.7,20.5,1194.3213,2.6163,0.0019,0.2217,4.2145,47.9875,0.1447,0.1079,2.4629,24.8797,53.8,22,127
19,458.49,7037,64.3,20.55,1184.8523,2.5541,0.0019,0.2217,4.1848,47.8739,0.1126,0.091,2.4629,24.4163,53.8,23,140
20,444.445,6889,43.05,20.44,1172.1422,2.5541,0.0018,0.2244,4.1848,47.7036,0.1235,0.095,2.4629,24.5383,53.8,24,130
21,467.925,7091,73.25,20.46,1162.2048,2.4796,0.0017,0.219,4.1257,47.1922,0.1207,0.087,1.8808,26.4387,53.6,27,140
22,467.515,7088,53.85,20.52,1182.3531,2.4002,0.0017,0.2163,4.0523,46.6236,0.1264,0.087,2.1684,24.3965,53.6,23,126
23,457.625,7031,26.9,20.51,1116.6206,2.3871,0.0016,0.2124,4.0523,46.5667,0.1152,0.087,2.0237,23.9967,53.6,23,131
24,465.095,7064,23.1,20.54,1068.5159,2.3354,0.0016,0.2071,4.0523,46.5667,0.1512,0.0795,2.0237,25.2191,53.6,25,136
25,449.125,6931,23.25,20.42,1095.7254,2.3226,0.0016,0.2071,3.9217,46.5667,0.1179,0.0795,2.1684,26.6985,53.6,27,127
26,452.06,6334,24.35,20.42,1055.1437,2.2468,0.0016,0.2084,3.8501,46.5667,0.1126,0.0759,2.3148,26.802,53.5,28,128
27,438.205,6200,23.75,20.44,1105.5247,2.2096,0.0015,0.2007,3.8073,46.5098,0.1126,0.0724,2.0237,24.8685,53.5,22,137
28,434.625,6668,23.35,20.55,1076.4917,2.1066,0.0015,0.1994,3.7507,46.3391,0.1074,0.0724,2.4629,24.7337,53.5,24,133
29,470.385,7048,25.15,20.46,1026.6799,2.1066,0.0015,0.1944,3.8358,46.1684,0.0952,0.069,2.1684,27.3476,53.5,28,133
30,458.065,7009,23.95,20.46,1046.6405,2.077,0.0015,0.1882,3.8073,45.8837,0.0975,0.0657,2.0237,24.4227,53.4,23,134
