,age,weight,bodyActivity,clothLayer,time,nigaThermal,summTemp,wintTemp,thermalComf,tempNow,nigaNoise,outNoise,backgNoise,noiseGenarally,noiseNow,people_Noise,AcousComfort,building_image,nigaAir,ac_control,vent,odorUsually,sleepy,odor,airSpeedNow,nigaLightQua,daylight,BlindOFF,lightControl,luminaireOFF,colorComf,visualComf,lightLevelFeel
0,2,5,3,3,5,1,1,3,1,4,0,0,0,3,2,0,2,1,1,0,4,0,0,0,2,0,0,1,1,0,3,3,3
1,1,2,1,3,3,1,1,3,1,3,1,0,0,5,5,0,5,1,1,1,2,0,0,0,1,1,0,0,1,1,4,5,3
2,2,2,4,3,5,0,3,3,0,3,0,1,1,3,3,1,2,1,0,1,2,0,0,0,1,0,0,0,1,0,4,5,4
3,1,5,3,5,4,0,3,2,1,3,0,0,0,4,4,1,3,3,0,1,1,0,0,0,2,0,0,0,1,0,3,3,5
4,1,5,3,5,4,0,3,3,1,3,0,0,0,3,3,1,3,3,0,1,2,0,1,0,2,0,0,0,0,0,2,2,3
5,1,6,3,5,3,1,5,3,0,5,0,1,0,4,4,1,1,1,1,0,3,0,0,0,2,0,0,1,1,0,3,3,3
6,1,6,3,2,3,0,3,3,1,3,1,0,1,4,4,1,3,2,1,1,1,0,0,0,2,1,0,0,1,0,5,4,2
7,1,3,3,5,2,1,4,2,0,3,1,1,1,2,3,1,2,4,1,0,2,0,0,0,2,1,1,0,1,0,4,4,3
8,1,4,3,5,3,0,3,2,0,2,0,0,0,4,5,1,4,3,0,1,3,0,1,1,1,0,1,0,1,0,4,5,1
9,1,3,3,5,3,1,1,5,0,1,1,1,1,3,2,1,4,5,0,0,3,0,1,0,2,1,0,0,1,0,4,4,5
10,1,2,3,5,4,1,2,2,0,2,0,0,0,3,2,1,3,3,1,0,2,0,0,1,1,0,1,0,0,0,3,4,3
11,1,1,6,2,2,1,1,1,0,1,0,0,0,3,4,1,4,2,0,1,3,0,0,0,2,1,0,0,1,1,4,3,5
12,1,1,3,1,3,1,2,3,0,3,0,0,1,3,2,0,5,2,1,0,2,0,0,1,2,0,0,0,0,0,3,3,3
