,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-883555.0,112.789,160.417,-883717.0,-883574.0,-883291.0,2.02286,0.025878,16.517
ageTheta[1],0.592904,0.0494,0.0723112,0.449405,0.634485,0.67358,2.14267,0.0274108,4.89627
ageTheta[2],0.323323,0.0442378,0.0645502,0.251284,0.324807,0.449079,2.12916,0.0272379,5.13651
ageTheta[3],0.083773,0.0142458,0.0209373,0.0527507,0.0884076,0.110968,2.16007,0.0276333,5.08533
timeTheta[1],0.0775756,0.0211998,0.0304517,0.0423703,0.0824076,0.124545,2.06328,0.0263951,7.55387
timeTheta[2],0.106526,0.0174481,0.0288227,0.0653025,0.113451,0.147316,2.72881,0.0349091,3.74584
timeTheta[3],0.0614683,0.0134122,0.0199869,0.0361778,0.0595437,0.0966441,2.2207,0.028409,4.61496
timeTheta[4],0.0724451,0.0170279,0.0247897,0.0355547,0.0838837,0.104425,2.11944,0.0271135,4.80273
timeTheta[5],0.060905,0.00917014,0.0147996,0.0377732,0.061753,0.0826507,2.60463,0.0333206,2.98615
timeTheta[6],0.0786264,0.0193334,0.0277274,0.0456415,0.0899336,0.116897,2.05685,0.0263128,8.74559
timeTheta[7],0.0547412,0.00944344,0.0155465,0.0362023,0.0527298,0.0899597,2.71021,0.0346711,3.49211
timeTheta[8],0.0717529,0.00244957,0.00830707,0.057977,0.0722433,0.0852173,11.5005,0.147124,1.53776
timeTheta[9],0.0704439,0.0152905,0.0220089,0.0399333,0.0712966,0.105079,2.07181,0.0265043,6.51494
timeTheta[10],0.065291,0.00423928,0.00983079,0.0508941,0.0637802,0.0864127,5.37764,0.0687951,1.52441
timeTheta[11],0.111751,0.0184958,0.0278996,0.0669599,0.117893,0.154043,2.27536,0.0291082,3.63092
timeTheta[12],0.0956954,0.0159924,0.0234105,0.0590248,0.0949739,0.125711,2.14287,0.0274133,6.35625
timeTheta[13],0.0727784,0.00959229,0.0150196,0.0572961,0.0669048,0.104968,2.45172,0.0313643,2.71132
weightTheta[1],0.148824,0.0186929,0.0281883,0.105089,0.15003,0.203822,2.27397,0.0290904,4.55082
weightTheta[2],0.145207,0.013044,0.0206457,0.107662,0.145372,0.177351,2.50518,0.0320482,3.09492
