,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-620968.0,0.889419,10.7664,-620987.0,-620968.0,-620952.0,146.531,9.74731,1.01807
ageTheta[1],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTheta[2],0.265251,0.00397833,0.0668301,0.157394,0.262523,0.376633,282.191,18.7714,1.03336
ageTheta[3],0.0900931,0.00329497,0.0435161,0.0310121,0.0832629,0.173083,174.42,11.6025,1.04718
timeTheta[1],0.0202209,0.000957794,0.0183842,0.00155641,0.0147886,0.0590068,368.422,24.5076,1.01031
timeTheta[2],0.117,0.00418743,0.0419887,0.0531821,0.114762,0.189973,100.547,6.68842,1.04511
timeTheta[3],0.249833,0.00344969,0.0604228,0.160079,0.245692,0.35427,306.79,20.4078,1.0121
timeTheta[4],0.226378,0.00358683,0.0590067,0.136524,0.221476,0.331584,270.633,18.0026,1.02119
timeTheta[5],0.229786,0.00424483,0.0576407,0.139792,0.226538,0.327163,184.391,12.2657,1.01373
timeTheta[6],0.0159791,0.00109257,0.0161995,0.00068245,0.0112392,0.0462943,219.839,14.6237,1.02818
timeTheta[7],0.0177653,0.00107652,0.0175948,0.000912888,0.012607,0.0550178,267.133,17.7698,1.02848
timeTheta[8],0.0167319,0.00167726,0.0171402,0.000730295,0.0113352,0.0530796,104.431,6.94679,1.01555
timeTheta[9],0.0212377,0.00139493,0.0213873,0.000946812,0.014692,0.0646429,235.076,15.6373,1.01049
timeTheta[10],0.0215168,0.00230212,0.0219563,0.000453862,0.0146783,0.0671626,90.9622,6.05083,1.02437
timeTheta[11],0.0201381,0.00148144,0.0204553,0.00103855,0.0136116,0.0620144,190.653,12.6823,1.00952
timeTheta[12],0.0211196,0.00196671,0.020151,0.00114507,0.0153622,0.0607713,104.981,6.98339,1.03803
timeTheta[13],0.0222926,0.00182329,0.0203525,0.00148639,0.0164453,0.0643404,124.602,8.28857,1.0241
